crimes,community_area,type
34,"East Garfield Park",STALKING
6849,"East Garfield Park",THEFT
883,"East Garfield Park","WEAPONS VIOLATION"
29,"East Side",ARSON
1109,"East Side",ASSAULT
2630,"East Side",BATTERY
925,"East Side",BURGLARY
56,"East Side","CRIM SEXUAL ASSAULT"
2402,"East Side","CRIMINAL DAMAGE"
242,"East Side","CRIMINAL TRESPASS"
475,"East Side","DECEPTIVE PRACTICE"
18,"East Side",HOMICIDE
1,"East Side","HUMAN TRAFFICKING"
46,"East Side","INTERFERENCE WITH PUBLIC OFFICER"
10,"East Side",INTIMIDATION
26,"East Side",KIDNAPPING
25,"East Side","LIQUOR LAW VIOLATION"
583,"East Side","MOTOR VEHICLE THEFT"
972,"East Side",NARCOTICS
1,"East Side",OBSCENITY
225,"East Side","OFFENSE INVOLVING CHILDREN"
965,"East Side","OTHER OFFENSE"
200,"East Side","PUBLIC PEACE VIOLATION"
227,"East Side",ROBBERY
63,"East Side","SEX OFFENSE"
7,"East Side",STALKING
2020,"East Side",THEFT
214,"East Side","WEAPONS VIOLATION"
24,Edgewater,ARSON
1484,Edgewater,ASSAULT
4367,Edgewater,BATTERY
1542,Edgewater,BURGLARY
1,Edgewater,"CONCEALED CARRY LICENSE VIOLATION"
162,Edgewater,"CRIM SEXUAL ASSAULT"
2537,Edgewater,"CRIMINAL DAMAGE"
808,Edgewater,"CRIMINAL TRESPASS"
1883,Edgewater,"DECEPTIVE PRACTICE"
6,Edgewater,GAMBLING
23,Edgewater,HOMICIDE
41,Edgewater,"INTERFERENCE WITH PUBLIC OFFICER"
9,Edgewater,INTIMIDATION
2,Edgewater,KIDNAPPING
50,Edgewater,"LIQUOR LAW VIOLATION"
973,Edgewater,"MOTOR VEHICLE THEFT"
947,Edgewater,NARCOTICS
1,Edgewater,NON-CRIMINAL
4,Edgewater,OBSCENITY
130,Edgewater,"OFFENSE INVOLVING CHILDREN"
1695,Edgewater,"OTHER OFFENSE"
1,Edgewater,PROSTITUTION
1,Edgewater,"PUBLIC INDECENCY"
172,Edgewater,"PUBLIC PEACE VIOLATION"
885,Edgewater,ROBBERY
136,Edgewater,"SEX OFFENSE"
11,Edgewater,STALKING
7944,Edgewater,THEFT
133,Edgewater,"WEAPONS VIOLATION"
6,"Edison Park",ARSON
154,"Edison Park",ASSAULT
476,"Edison Park",BATTERY
143,"Edison Park",BURGLARY
7,"Edison Park","CRIM SEXUAL ASSAULT"
398,"Edison Park","CRIMINAL DAMAGE"
89,"Edison Park","CRIMINAL TRESPASS"
258,"Edison Park","DECEPTIVE PRACTICE"
1,"Edison Park",GAMBLING
1,"Edison Park",INTIMIDATION
2,"Edison Park",KIDNAPPING
3,"Edison Park","LIQUOR LAW VIOLATION"
70,"Edison Park","MOTOR VEHICLE THEFT"
36,"Edison Park",NARCOTICS
1,"Edison Park",OBSCENITY
16,"Edison Park","OFFENSE INVOLVING CHILDREN"
262,"Edison Park","OTHER OFFENSE"
2,"Edison Park",PROSTITUTION
20,"Edison Park","PUBLIC PEACE VIOLATION"
16,"Edison Park",ROBBERY
11,"Edison Park","SEX OFFENSE"
2,"Edison Park",STALKING
558,"Edison Park",THEFT
2,"Edison Park","WEAPONS VIOLATION"
157,Englewood,ARSON
5678,Englewood,ASSAULT
16979,Englewood,BATTERY
4187,Englewood,BURGLARY
22,Englewood,"CONCEALED CARRY LICENSE VIOLATION"
361,Englewood,"CRIM SEXUAL ASSAULT"
7278,Englewood,"CRIMINAL DAMAGE"
1901,Englewood,"CRIMINAL TRESPASS"
1775,Englewood,"DECEPTIVE PRACTICE"
237,Englewood,GAMBLING
244,Englewood,HOMICIDE
1,Englewood,"HUMAN TRAFFICKING"
436,Englewood,"INTERFERENCE WITH PUBLIC OFFICER"
29,Englewood,INTIMIDATION
57,Englewood,KIDNAPPING
31,Englewood,"LIQUOR LAW VIOLATION"
2519,Englewood,"MOTOR VEHICLE THEFT"
6993,Englewood,NARCOTICS
10,Englewood,OBSCENITY
551,Englewood,"OFFENSE INVOLVING CHILDREN"
4425,Englewood,"OTHER OFFENSE"
816,Englewood,PROSTITUTION
3,Englewood,"PUBLIC INDECENCY"
770,Englewood,"PUBLIC PEACE VIOLATION"
3313,Englewood,ROBBERY
210,Englewood,"SEX OFFENSE"
41,Englewood,STALKING
10255,Englewood,THEFT
1817,Englewood,"WEAPONS VIOLATION"
4,"Forest Glen",ARSON
248,"Forest Glen",ASSAULT
500,"Forest Glen",BATTERY
693,"Forest Glen",BURGLARY
16,"Forest Glen","CRIM SEXUAL ASSAULT"
703,"Forest Glen","CRIMINAL DAMAGE"
152,"Forest Glen","CRIMINAL TRESPASS"
451,"Forest Glen","DECEPTIVE PRACTICE"
1,"Forest Glen",HOMICIDE
6,"Forest Glen","INTERFERENCE WITH PUBLIC OFFICER"
3,"Forest Glen",INTIMIDATION
6,"Forest Glen",KIDNAPPING
3,"Forest Glen","LIQUOR LAW VIOLATION"
199,"Forest Glen","MOTOR VEHICLE THEFT"
108,"Forest Glen",NARCOTICS
2,"Forest Glen",NON-CRIMINAL
28,"Forest Glen","OFFENSE INVOLVING CHILDREN"
358,"Forest Glen","OTHER OFFENSE"
1,"Forest Glen",PROSTITUTION
11,"Forest Glen","PUBLIC PEACE VIOLATION"
40,"Forest Glen",ROBBERY
17,"Forest Glen","SEX OFFENSE"
8,"Forest Glen",STALKING
1361,"Forest Glen",THEFT
11,"Forest Glen","WEAPONS VIOLATION"
13,"Fuller Park",ARSON
688,"Fuller Park",ASSAULT
1661,"Fuller Park",BATTERY
317,"Fuller Park",BURGLARY
1,"Fuller Park","CONCEALED CARRY LICENSE VIOLATION"
37,"Fuller Park","CRIM SEXUAL ASSAULT"
846,"Fuller Park","CRIMINAL DAMAGE"
403,"Fuller Park","CRIMINAL TRESPASS"
586,"Fuller Park","DECEPTIVE PRACTICE"
6,"Fuller Park",GAMBLING
19,"Fuller Park",HOMICIDE
1,"Fuller Park","HUMAN TRAFFICKING"
63,"Fuller Park","INTERFERENCE WITH PUBLIC OFFICER"
13,"Fuller Park",INTIMIDATION
4,"Fuller Park",KIDNAPPING
3,"Fuller Park","LIQUOR LAW VIOLATION"
469,"Fuller Park","MOTOR VEHICLE THEFT"
945,"Fuller Park",NARCOTICS
1,"Fuller Park","NON - CRIMINAL"
1,"Fuller Park","NON-CRIMINAL (SUBJECT SPECIFIED)"
2,"Fuller Park",OBSCENITY
123,"Fuller Park","OFFENSE INVOLVING CHILDREN"
430,"Fuller Park","OTHER OFFENSE"
1,"Fuller Park",PROSTITUTION
1,"Fuller Park","PUBLIC INDECENCY"
60,"Fuller Park","PUBLIC PEACE VIOLATION"
569,"Fuller Park",ROBBERY
23,"Fuller Park","SEX OFFENSE"
6,"Fuller Park",STALKING
1926,"Fuller Park",THEFT
190,"Fuller Park","WEAPONS VIOLATION"
81,"Gage Park",ARSON
1602,"Gage Park",ASSAULT
4630,"Gage Park",BATTERY
1786,"Gage Park",BURGLARY
2,"Gage Park","CONCEALED CARRY LICENSE VIOLATION"
131,"Gage Park","CRIM SEXUAL ASSAULT"
3543,"Gage Park","CRIMINAL DAMAGE"
420,"Gage Park","CRIMINAL TRESPASS"
835,"Gage Park","DECEPTIVE PRACTICE"
14,"Gage Park",GAMBLING
76,"Gage Park",HOMICIDE
83,"Gage Park","INTERFERENCE WITH PUBLIC OFFICER"
18,"Gage Park",INTIMIDATION
29,"Gage Park",KIDNAPPING
50,"Gage Park","LIQUOR LAW VIOLATION"
1893,"Gage Park","MOTOR VEHICLE THEFT"
2197,"Gage Park",NARCOTICS
1,"Gage Park","NON - CRIMINAL"
9,"Gage Park",OBSCENITY
304,"Gage Park","OFFENSE INVOLVING CHILDREN"
1601,"Gage Park","OTHER OFFENSE"
54,"Gage Park",PROSTITUTION
412,"Gage Park","PUBLIC PEACE VIOLATION"
1152,"Gage Park",ROBBERY
154,"Gage Park","SEX OFFENSE"
16,"Gage Park",STALKING
4547,"Gage Park",THEFT
424,"Gage Park","WEAPONS VIOLATION"
41,"Garfield Ridge",ARSON
1095,"Garfield Ridge",ASSAULT
2658,"Garfield Ridge",BATTERY
1480,"Garfield Ridge",BURGLARY
54,"Garfield Ridge","CONCEALED CARRY LICENSE VIOLATION"
82,"Garfield Ridge","CRIM SEXUAL ASSAULT"
2981,"Garfield Ridge","CRIMINAL DAMAGE"
420,"Garfield Ridge","CRIMINAL TRESPASS"
1547,"Garfield Ridge","DECEPTIVE PRACTICE"
6,"Garfield Ridge",GAMBLING
19,"Garfield Ridge",HOMICIDE
48,"Garfield Ridge","INTERFERENCE WITH PUBLIC OFFICER"
11,"Garfield Ridge",INTIMIDATION
16,"Garfield Ridge",KIDNAPPING
39,"Garfield Ridge","LIQUOR LAW VIOLATION"
879,"Garfield Ridge","MOTOR VEHICLE THEFT"
1409,"Garfield Ridge",NARCOTICS
1,"Garfield Ridge","NON - CRIMINAL"
5,"Garfield Ridge",NON-CRIMINAL
3,"Garfield Ridge",OBSCENITY
158,"Garfield Ridge","OFFENSE INVOLVING CHILDREN"
1,"Garfield Ridge","OTHER NARCOTIC VIOLATION"
1260,"Garfield Ridge","OTHER OFFENSE"
525,"Garfield Ridge",PROSTITUTION
175,"Garfield Ridge","PUBLIC PEACE VIOLATION"
403,"Garfield Ridge",ROBBERY
69,"Garfield Ridge","SEX OFFENSE"
15,"Garfield Ridge",STALKING
4347,"Garfield Ridge",THEFT
116,"Garfield Ridge","WEAPONS VIOLATION"
21,"Grand Boulevard",ARSON
2773,"Grand Boulevard",ASSAULT
7483,"Grand Boulevard",BATTERY
1656,"Grand Boulevard",BURGLARY
148,"Grand Boulevard","CRIM SEXUAL ASSAULT"
3817,"Grand Boulevard","CRIMINAL DAMAGE"
845,"Grand Boulevard","CRIMINAL TRESPASS"
1319,"Grand Boulevard","DECEPTIVE PRACTICE"
51,"Grand Boulevard",GAMBLING
81,"Grand Boulevard",HOMICIDE
2,"Grand Boulevard","HUMAN TRAFFICKING"
120,"Grand Boulevard","INTERFERENCE WITH PUBLIC OFFICER"
9,"Grand Boulevard",INTIMIDATION
20,"Grand Boulevard",KIDNAPPING
29,"Grand Boulevard","LIQUOR LAW VIOLATION"
1706,"Grand Boulevard","MOTOR VEHICLE THEFT"
3147,"Grand Boulevard",NARCOTICS
11,"Grand Boulevard",OBSCENITY
271,"Grand Boulevard","OFFENSE INVOLVING CHILDREN"
2280,"Grand Boulevard","OTHER OFFENSE"
260,"Grand Boulevard",PROSTITUTION
2,"Grand Boulevard","PUBLIC INDECENCY"
206,"Grand Boulevard","PUBLIC PEACE VIOLATION"
1658,"Grand Boulevard",ROBBERY
92,"Grand Boulevard","SEX OFFENSE"
22,"Grand Boulevard",STALKING
6463,"Grand Boulevard",THEFT
445,"Grand Boulevard","WEAPONS VIOLATION"
101,"Greater Grand Crossing",ARSON
5520,"Greater Grand Crossing",ASSAULT
15973,"Greater Grand Crossing",BATTERY
4122,"Greater Grand Crossing",BURGLARY
7,"Greater Grand Crossing","CONCEALED CARRY LICENSE VIOLATION"
364,"Greater Grand Crossing","CRIM SEXUAL ASSAULT"
7416,"Greater Grand Crossing","CRIMINAL DAMAGE"
2119,"Greater Grand Crossing","CRIMINAL TRESPASS"
2557,"Greater Grand Crossing","DECEPTIVE PRACTICE"
104,"Greater Grand Crossing",GAMBLING
175,"Greater Grand Crossing",HOMICIDE
3,"Greater Grand Crossing","HUMAN TRAFFICKING"
369,"Greater Grand Crossing","INTERFERENCE WITH PUBLIC OFFICER"
21,"Greater Grand Crossing",INTIMIDATION
59,"Greater Grand Crossing",KIDNAPPING
50,"Greater Grand Crossing","LIQUOR LAW VIOLATION"
3081,"Greater Grand Crossing","MOTOR VEHICLE THEFT"
5949,"Greater Grand Crossing",NARCOTICS
2,"Greater Grand Crossing",NON-CRIMINAL
5,"Greater Grand Crossing",OBSCENITY
602,"Greater Grand Crossing","OFFENSE INVOLVING CHILDREN"
1,"Greater Grand Crossing","OTHER NARCOTIC VIOLATION"
4641,"Greater Grand Crossing","OTHER OFFENSE"
65,"Greater Grand Crossing",PROSTITUTION
585,"Greater Grand Crossing","PUBLIC PEACE VIOLATION"
3586,"Greater Grand Crossing",ROBBERY
183,"Greater Grand Crossing","SEX OFFENSE"
40,"Greater Grand Crossing",STALKING
10425,"Greater Grand Crossing",THEFT
1404,"Greater Grand Crossing","WEAPONS VIOLATION"
16,Hegewisch,ARSON
513,Hegewisch,ASSAULT
1201,Hegewisch,BATTERY
449,Hegewisch,BURGLARY
30,Hegewisch,"CRIM SEXUAL ASSAULT"
885,Hegewisch,"CRIMINAL DAMAGE"
153,Hegewisch,"CRIMINAL TRESPASS"
324,Hegewisch,"DECEPTIVE PRACTICE"
1,Hegewisch,GAMBLING
5,Hegewisch,HOMICIDE
14,Hegewisch,"INTERFERENCE WITH PUBLIC OFFICER"
5,Hegewisch,INTIMIDATION
6,Hegewisch,KIDNAPPING
16,Hegewisch,"LIQUOR LAW VIOLATION"
240,Hegewisch,"MOTOR VEHICLE THEFT"
264,Hegewisch,NARCOTICS
1,Hegewisch,NON-CRIMINAL
2,Hegewisch,OBSCENITY
73,Hegewisch,"OFFENSE INVOLVING CHILDREN"
453,Hegewisch,"OTHER OFFENSE"
63,Hegewisch,"PUBLIC PEACE VIOLATION"
88,Hegewisch,ROBBERY
17,Hegewisch,"SEX OFFENSE"
13,Hegewisch,STALKING
1273,Hegewisch,THEFT
76,Hegewisch,"WEAPONS VIOLATION"
65,Hermosa,ARSON
1096,Hermosa,ASSAULT
3289,Hermosa,BATTERY
1278,Hermosa,BURGLARY
85,Hermosa,"CRIM SEXUAL ASSAULT"
2032,Hermosa,"CRIMINAL DAMAGE"
235,Hermosa,"CRIMINAL TRESPASS"
664,Hermosa,"DECEPTIVE PRACTICE"
1,Hermosa,GAMBLING
21,Hermosa,HOMICIDE
81,Hermosa,"INTERFERENCE WITH PUBLIC OFFICER"
5,Hermosa,INTIMIDATION
20,Hermosa,KIDNAPPING
22,Hermosa,"LIQUOR LAW VIOLATION"
1281,Hermosa,"MOTOR VEHICLE THEFT"
1196,Hermosa,NARCOTICS
2,Hermosa,NON-CRIMINAL
4,Hermosa,OBSCENITY
204,Hermosa,"OFFENSE INVOLVING CHILDREN"
1397,Hermosa,"OTHER OFFENSE"
34,Hermosa,PROSTITUTION
180,Hermosa,"PUBLIC PEACE VIOLATION"
538,Hermosa,ROBBERY
67,Hermosa,"SEX OFFENSE"
9,Hermosa,STALKING
2785,Hermosa,THEFT
260,Hermosa,"WEAPONS VIOLATION"
179,"Humboldt park",ARSON
5771,"Humboldt park",ASSAULT
17204,"Humboldt park",BATTERY
3815,"Humboldt park",BURGLARY
3,"Humboldt park","CONCEALED CARRY LICENSE VIOLATION"
393,"Humboldt park","CRIM SEXUAL ASSAULT"
7827,"Humboldt park","CRIMINAL DAMAGE"
1468,"Humboldt park","CRIMINAL TRESPASS"
2165,"Humboldt park","DECEPTIVE PRACTICE"
336,"Humboldt park",GAMBLING
214,"Humboldt park",HOMICIDE
1,"Humboldt park","HUMAN TRAFFICKING"
585,"Humboldt park","INTERFERENCE WITH PUBLIC OFFICER"
36,"Humboldt park",INTIMIDATION
56,"Humboldt park",KIDNAPPING
97,"Humboldt park","LIQUOR LAW VIOLATION"
4059,"Humboldt park","MOTOR VEHICLE THEFT"
19256,"Humboldt park",NARCOTICS
1,"Humboldt park","NON - CRIMINAL"
1,"Humboldt park",NON-CRIMINAL
2,"Humboldt park","NON-CRIMINAL (SUBJECT SPECIFIED)"
9,"Humboldt park",OBSCENITY
722,"Humboldt park","OFFENSE INVOLVING CHILDREN"
3,"Humboldt park","OTHER NARCOTIC VIOLATION"
5004,"Humboldt park","OTHER OFFENSE"
1077,"Humboldt park",PROSTITUTION
2,"Humboldt park","PUBLIC INDECENCY"
711,"Humboldt park","PUBLIC PEACE VIOLATION"
3495,"Humboldt park",ROBBERY
232,"Humboldt park","SEX OFFENSE"
31,"Humboldt park",STALKING
11936,"Humboldt park",THEFT
1475,"Humboldt park","WEAPONS VIOLATION"
6,"Hyde Park",ARSON
878,"Hyde Park",ASSAULT
1950,"Hyde Park",BATTERY
1223,"Hyde Park",BURGLARY
116,"Hyde Park","CRIM SEXUAL ASSAULT"
1802,"Hyde Park","CRIMINAL DAMAGE"
360,"Hyde Park","CRIMINAL TRESPASS"
1234,"Hyde Park","DECEPTIVE PRACTICE"
10,"Hyde Park",GAMBLING
14,"Hyde Park",HOMICIDE
1,"Hyde Park","HUMAN TRAFFICKING"
13,"Hyde Park","INTERFERENCE WITH PUBLIC OFFICER"
7,"Hyde Park",INTIMIDATION
7,"Hyde Park",KIDNAPPING
11,"Hyde Park","LIQUOR LAW VIOLATION"
788,"Hyde Park","MOTOR VEHICLE THEFT"
354,"Hyde Park",NARCOTICS
5,"Hyde Park",OBSCENITY
119,"Hyde Park","OFFENSE INVOLVING CHILDREN"
997,"Hyde Park","OTHER OFFENSE"
1,"Hyde Park",PROSTITUTION
2,"Hyde Park","PUBLIC INDECENCY"
65,"Hyde Park","PUBLIC PEACE VIOLATION"
865,"Hyde Park",ROBBERY
75,"Hyde Park","SEX OFFENSE"
18,"Hyde Park",STALKING
5756,"Hyde Park",THEFT
48,"Hyde Park","WEAPONS VIOLATION"
57,"Irving Park",ARSON
1624,"Irving Park",ASSAULT
5395,"Irving Park",BATTERY
2605,"Irving Park",BURGLARY
1,"Irving Park","CONCEALED CARRY LICENSE VIOLATION"
143,"Irving Park","CRIM SEXUAL ASSAULT"
4347,"Irving Park","CRIMINAL DAMAGE"
537,"Irving Park","CRIMINAL TRESPASS"
1481,"Irving Park","DECEPTIVE PRACTICE"
7,"Irving Park",GAMBLING
26,"Irving Park",HOMICIDE
56,"Irving Park","INTERFERENCE WITH PUBLIC OFFICER"
14,"Irving Park",INTIMIDATION
26,"Irving Park",KIDNAPPING
67,"Irving Park","LIQUOR LAW VIOLATION"
2499,"Irving Park","MOTOR VEHICLE THEFT"
1322,"Irving Park",NARCOTICS
1,"Irving Park",NON-CRIMINAL
6,"Irving Park",OBSCENITY
247,"Irving Park","OFFENSE INVOLVING CHILDREN"
1,"Irving Park","OTHER NARCOTIC VIOLATION"
1922,"Irving Park","OTHER OFFENSE"
15,"Irving Park",PROSTITUTION
1,"Irving Park","PUBLIC INDECENCY"
269,"Irving Park","PUBLIC PEACE VIOLATION"
992,"Irving Park",ROBBERY
153,"Irving Park","SEX OFFENSE"
19,"Irving Park",STALKING
7521,"Irving Park",THEFT
173,"Irving Park","WEAPONS VIOLATION"
15,"Jefferson Park",ARSON
651,"Jefferson Park",ASSAULT
1668,"Jefferson Park",BATTERY
872,"Jefferson Park",BURGLARY
34,"Jefferson Park","CRIM SEXUAL ASSAULT"
1542,"Jefferson Park","CRIMINAL DAMAGE"
364,"Jefferson Park","CRIMINAL TRESPASS"
807,"Jefferson Park","DECEPTIVE PRACTICE"
1,"Jefferson Park",GAMBLING
8,"Jefferson Park",HOMICIDE
1,"Jefferson Park","HUMAN TRAFFICKING"
33,"Jefferson Park","INTERFERENCE WITH PUBLIC OFFICER"
5,"Jefferson Park",INTIMIDATION
18,"Jefferson Park",KIDNAPPING
26,"Jefferson Park","LIQUOR LAW VIOLATION"
508,"Jefferson Park","MOTOR VEHICLE THEFT"
445,"Jefferson Park",NARCOTICS
3,"Jefferson Park","NON - CRIMINAL"
2,"Jefferson Park",NON-CRIMINAL
5,"Jefferson Park",OBSCENITY
146,"Jefferson Park","OFFENSE INVOLVING CHILDREN"
954,"Jefferson Park","OTHER OFFENSE"
3,"Jefferson Park",PROSTITUTION
62,"Jefferson Park","PUBLIC PEACE VIOLATION"
195,"Jefferson Park",ROBBERY
58,"Jefferson Park","SEX OFFENSE"
15,"Jefferson Park",STALKING
2833,"Jefferson Park",THEFT
46,"Jefferson Park","WEAPONS VIOLATION"
15,Kenwood,ARSON
1101,Kenwood,ASSAULT
2708,Kenwood,BATTERY
824,Kenwood,BURGLARY
72,Kenwood,"CRIM SEXUAL ASSAULT"
1739,Kenwood,"CRIMINAL DAMAGE"
388,Kenwood,"CRIMINAL TRESPASS"
807,Kenwood,"DECEPTIVE PRACTICE"
18,Kenwood,GAMBLING
22,Kenwood,HOMICIDE
11,Kenwood,"INTERFERENCE WITH PUBLIC OFFICER"
10,Kenwood,INTIMIDATION
8,Kenwood,KIDNAPPING
2,Kenwood,"LIQUOR LAW VIOLATION"
697,Kenwood,"MOTOR VEHICLE THEFT"
700,Kenwood,NARCOTICS
1,Kenwood,NON-CRIMINAL
5,Kenwood,OBSCENITY
109,Kenwood,"OFFENSE INVOLVING CHILDREN"
1130,Kenwood,"OTHER OFFENSE"
5,Kenwood,PROSTITUTION
66,Kenwood,"PUBLIC PEACE VIOLATION"
731,Kenwood,ROBBERY
54,Kenwood,"SEX OFFENSE"
10,Kenwood,STALKING
3959,Kenwood,THEFT
125,Kenwood,"WEAPONS VIOLATION"
44,"Lake View",ARSON
2061,"Lake View",ASSAULT
7774,"Lake View",BATTERY
3934,"Lake View",BURGLARY
3,"Lake View","CONCEALED CARRY LICENSE VIOLATION"
346,"Lake View","CRIM SEXUAL ASSAULT"
5494,"Lake View","CRIMINAL DAMAGE"
1842,"Lake View","CRIMINAL TRESPASS"
5293,"Lake View","DECEPTIVE PRACTICE"
5,"Lake View",GAMBLING
9,"Lake View",HOMICIDE
1,"Lake View","HUMAN TRAFFICKING"
88,"Lake View","INTERFERENCE WITH PUBLIC OFFICER"
32,"Lake View",INTIMIDATION
12,"Lake View",KIDNAPPING
172,"Lake View","LIQUOR LAW VIOLATION"
2269,"Lake View","MOTOR VEHICLE THEFT"
1544,"Lake View",NARCOTICS
13,"Lake View",NON-CRIMINAL
8,"Lake View",OBSCENITY
110,"Lake View","OFFENSE INVOLVING CHILDREN"
8,"Lake View","OTHER NARCOTIC VIOLATION"
2126,"Lake View","OTHER OFFENSE"
75,"Lake View",PROSTITUTION
7,"Lake View","PUBLIC INDECENCY"
474,"Lake View","PUBLIC PEACE VIOLATION"
2462,"Lake View",ROBBERY
229,"Lake View","SEX OFFENSE"
36,"Lake View",STALKING
23106,"Lake View",THEFT
135,"Lake View","WEAPONS VIOLATION"
20,"Lincoln Park",ARSON
1167,"Lincoln Park",ASSAULT
3645,"Lincoln Park",BATTERY
2953,"Lincoln Park",BURGLARY
2,"Lincoln Park","CONCEALED CARRY LICENSE VIOLATION"
180,"Lincoln Park","CRIM SEXUAL ASSAULT"
4646,"Lincoln Park","CRIMINAL DAMAGE"
1090,"Lincoln Park","CRIMINAL TRESPASS"
3351,"Lincoln Park","DECEPTIVE PRACTICE"
5,"Lincoln Park",GAMBLING
5,"Lincoln Park",HOMICIDE
1,"Lincoln Park","HUMAN TRAFFICKING"
29,"Lincoln Park","INTERFERENCE WITH PUBLIC OFFICER"
10,"Lincoln Park",INTIMIDATION
24,"Lincoln Park",KIDNAPPING
157,"Lincoln Park","LIQUOR LAW VIOLATION"
1741,"Lincoln Park","MOTOR VEHICLE THEFT"
584,"Lincoln Park",NARCOTICS
1,"Lincoln Park",NON-CRIMINAL
4,"Lincoln Park",OBSCENITY
73,"Lincoln Park","OFFENSE INVOLVING CHILDREN"
3,"Lincoln Park","OTHER NARCOTIC VIOLATION"
1205,"Lincoln Park","OTHER OFFENSE"
14,"Lincoln Park",PROSTITUTION
6,"Lincoln Park","PUBLIC INDECENCY"
169,"Lincoln Park","PUBLIC PEACE VIOLATION"
1276,"Lincoln Park",ROBBERY
159,"Lincoln Park","SEX OFFENSE"
26,"Lincoln Park",STALKING
20530,"Lincoln Park",THEFT
58,"Lincoln Park","WEAPONS VIOLATION"
10,"Lincoln Square",ARSON
1010,"Lincoln Square",ASSAULT
2981,"Lincoln Square",BATTERY
1355,"Lincoln Square",BURGLARY
1,"Lincoln Square","CONCEALED CARRY LICENSE VIOLATION"
115,"Lincoln Square","CRIM SEXUAL ASSAULT"
2444,"Lincoln Square","CRIMINAL DAMAGE"
481,"Lincoln Square","CRIMINAL TRESPASS"
1357,"Lincoln Square","DECEPTIVE PRACTICE"
8,"Lincoln Square",GAMBLING
